name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, multiple_name_flag, payload_flag, operational_status_code, satellite_name, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
Galaxy-25 (G-25. Intelsat 1A-5. Telstar 5), USA, USA, Intelsat. Ltd. , Commercial, Communications, null, GEO, null, -93.09, 35771, 35801, 0.00035582123541132935, 0.03, 1436.08, 3515, null, null, 1997-05-24, 13 yrs., Space Systems/Loral, USA, Baikonur Cosmodrome, Proton K, 1997-026A, 24812, 24 C-band. 28 Ku-band; U.S.. southern Canada. Mexico. Caribbean., null, JM/12_08, http://www.loralglobalalliance.com/fleet/loral_skynet/lor_overview_us.asp.html, http://www.loralskynet.com/news_031704.asp, http://nssdc.gsfc.nasa.gov/spacewarn/spx524.html, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://www.lib.cas.cz/www/space.40/1997/026A.HTM, null, 1997, 26, A, M, *, +, GALAXY 25 (G-25), US, 1997-01-24, TYMSC, null, 1, null, 35801, 35772, 40.2985, null
Galaxy-28 (G-28. Intelsat IA-8. Telstar 8), USA, USA, Intelsat. Ltd., Commercial, Communications, null, GEO, null, -88.96, 35775, 35798, 0.0002727930449634101, 0.01, 1436.1, 5493, null, 16000, 2005-06-23, 13 trs., Space Systems/Loral, USA, Sea Launch (Odyssey), Zenit 3SL, 2005-022A, 28702, 28 C-band. 36 Ku-band. 24 Ka-band; video and data transmissions to all countries in North and South America., null, JM/12_08, http://www.intelsat.com/aboutus/press/IA8info.aspx, http://en.wikipedia.org/wiki/Intelsat, http://www.satnews.com/stories11/384.htm, http://nssdc.gsfc.nasa.gov/spacewarn/spx620.html, http://www.lib.cas.cz/www/space.40/2005/022A.HTM, null, 2005, 22, A, M, *, +, GALAXY 28 (G-28), ITSO, 2005-01-23, SEAL, null, 0, null, 35795, 35777, 16.7962, null
Galaxy-3C, USA, USA, PanAmSat (Intelsat. Ltd.)/DirecTV L.A., Commercial, Communications, null, GEO, null, -95.02, 35784, 35788, 0.00004744283138817725, 0.01, 1436.11, 4860, 2873, 18000, 2002-06-15, 15 yrs., Boeing Satellite Systems, USA, Sea Launch (Odyssey), Zenit 3SL, 2002-030A, 27445, Direct-to-home broadcast of video and Internet; 24 C-band. 16 Ku-band; North America. DirecTV leases transponders for broadcast to Latin America., null, JM/12_08, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx584.html, http://www.panamsat.com/global_network/galaxy_3c.asp, null, null, null, 2002, 30, A, null, *, +, GALAXY 3C (G-3C), US, 2002-01-15, SEAL, null, 0, null, 35795, 35779, 33.4954, null
Galileo FOC FM1 (Galileo 5), NR, ESA, European Space Agency, Commercial, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 17231, 25971, 0.15623324157162777, 49.78, 776.25, 733, 660, null, 2014-08-22, 12 yrs., OHB-System GmbH. SSTL , Germany/UK, Guiana Space Center, Soyuz-ST, 2014-050A, 40128, Placed into wrong orbit. subsequently maneuvered into orbit where it can work with Galileo constellation., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, http://www.esa.int/Our_Activities/Navigation/The_future_-_Galileo/Launching_Galileo/Update_on_Galileo_launch_injection_anomaly2, null, null, null, null, 2014, 50, A, M, *, +, GSAT0201 (GALILEO 5), ESA, 2014-01-22, FRGUI, null, 50.6, null, 26255, 16944, 4.1215, null
Galileo FOC FM10 (Galileo 13), NR (6/16), ESA, European Space Agency, Commercial, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 23272, 23280, 0.00013492545368683803, 57.4, 847.01, 723, null, null, 2016-05-24, 12 yrs., OHB-System GmbH. SSTL , Germany/UK, Guiana Space Center, Soyuz-ST, 2016-030A, 41549, null, null, Space50, http://spaceflightnow.com/2016/05/24/soyuz-launch-adds-two-more-satellites-to-galileo-navigation-fleet/, http://space50.org/objekt.php?mot=2016-030A&jazyk=pp_en, null, null, null, null, 2016, 30, A, M, *, +, GSAT0211 (GALILEO 14), ESA, 2016-01-24, FRGUI, null, 56.6, null, 23227, 23217, 6.5968, null
Galileo FOC FM11 (Galileo 14), NR (6/16), ESA, European Space Agency, Commercial, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 23483, 23530, 0.0007865713855371278, 57.4, 856.9, 723, null, null, 2016-05-24, 12 yrs., OHB-System GmbH. SSTL , Germany/UK, Guiana Space Center, Soyuz-ST, 2016-030B, 41550, null, null, Space50, http://spaceflightnow.com/2016/05/24/soyuz-launch-adds-two-more-satellites-to-galileo-navigation-fleet/, http://space50.org/objekt.php?mot=2016-030B&jazyk=pp_en, null, null, null, null, 2016, 30, B, M, *, +, GSAT0210 (GALILEO 13), ESA, 2016-01-24, FRGUI, null, 56.6, null, 23223, 23221, 15.8866, null
Galileo FOC FM2 (Galileo 6), NR, ESA, European Space Agency, Commercial, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 13810, 25918, 0.23076923076923078, 49.77, 705.11, 733, 660, null, 2014-08-22, 12 yrs., OHB-System GmbH. SSTL , Germany/UK, Guiana Space Center, Soyuz-ST, 2014-050B, 40129, Placed into wrong orbit. subsequently maneuvered into orbit where it can work with Galileo constellation., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, http://www.esa.int/Our_Activities/Navigation/The_future_-_Galileo/Launching_Galileo/Update_on_Galileo_launch_injection_anomaly2, null, null, null, null, 2014, 50, B, M, *, +, GSAT0202 (GALILEO 6), ESA, 2014-01-22, FRGUI, null, 50.6, null, 26253, 16946, 2, null
AMC-1 (Americom 1. GE-1), USA, USA, SES (Société Européenne des Satellites (SES)), Commercial, Communications, null, GEO, null, -103.02, 35772, 35800, 0.00033209981971724073, 0.03, 1436.1, 2783, 1600, 6.500 (EOL), 1996-09-08, 15 yrs., Lockheed Martin Commercial Space Systems, USA, Cape Canaveral, Atlas 2A, 1996-054A, 24315, Broadcasting. business. cable. mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean, null, JM/12_08, http://nssdc.gsfc.nasa.gov/spacewarn/, http://ses-americom.com/satellites/amc-1.html, http://www.chinastar.com.cn/english/sate/xnzb.html, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, https://www.enu.kz/repository/2009/AIAA-2009-5364.pdf, null, 1996, 54, A, null, *, +, AMC-1 (GE-1), SES, 1996-01-08, AFETR, null, 3, null, 35799, 35774, 35.9897, null
Galileo FOC FM3 (Galileo 7), NR (6/16), ESA, European Space Agency, Commercial, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 23516, 23574, 0.0009694133377904061, 55, 858.55, 723, null, null, 2015-03-27, 12 yrs., OHB-System GmbH. SSTL , Germany/UK, Guiana Space Center, Soyuz-ST, 2015-017A, 40544, null, null, JM/8_15, http://www.insidegnss.com/node/4471, null, null, null, null, null, 2015, 17, A, M, *, +, GSAT0203 (GALILEO 7), ESA, 2015-01-27, FRGUI, null, 56.1, null, 23234, 23210, 8.4512, null
Galileo FOC FM4 (Galileo 8), NR (6/16), ESA, European Space Agency, Commercial, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 23353, 23382, 0.00048759983186212694, 55.1, 850.5, 723, null, null, 2015-03-27, 12 yrs., OHB-System GmbH. SSTL , Germany/UK, Guiana Space Center, Soyuz-ST, 2015-017B, 40545, null, null, JM/8_15, http://www.insidegnss.com/node/4471, null, null, null, null, null, 2015, 17, B, M, *, +, GSAT0204 (GALILEO 8), ESA, 2015-01-27, FRGUI, null, 56.1, null, 23227, 23217, 9.4592, null
Galileo FOC FM5 (Galileo 9), NR, ESA, European Space Agency, Commercial, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 23218, 23240, 0.0003716341768302983, 57.1, 845, 723, null, null, 2015-09-11, 12 yrs., OHB-System GmbH. SSTL , Germany/UK, Guiana Space Center, Soyuz-ST, 2015-045A, 40889, null, null, SC - ASCR, http://gpsworld.com/galileo-9-and-10-in-the-zone-for-this-weeks-launch/, null, null, null, null, null, 2015, 45, A, M, *, +, GSAT0205 (GALILEO 9), ESA, 2015-01-11, FRGUI, null, 56.5, null, 23234, 23210, 9.5282, null
Galileo FOC FM6 (Galileo 10), NR, ESA, European Space Agency, Commercial, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 23220, 23239, 0.000320951367421747, 57.1, 844, 723, null, null, 2015-09-11, 12 yrs., OHB-System GmbH. SSTL , Germany/UK, Guiana Space Center, Soyuz-ST, 2015-045B, 40890, null, null, SC - ASCR, http://gpsworld.com/galileo-9-and-10-in-the-zone-for-this-weeks-launch/, null, null, null, null, null, 2015, 45, B, M, *, +, GSAT0206 (GALILEO 10), ESA, 2015-01-11, FRGUI, null, 56.5, null, 23229, 23215, 8.8826, null
Galileo FOC FM8 (Galileo 11), NR (1/16), ESA, European Space Agency, Commercial, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 23550, 23618, 0.0011350737797956867, 54.96, 860.51, 723, null, null, 2015-12-17, 12 yrs., OHB-System GmbH. SSTL , Germany/UK, Guiana Space Center, Soyuz-ST, 2015-079B, 41175, null, null, prehled-druzic, http://spaceflightnow.com/2015/12/17/soyuz-launches-two-more-galileo-satellites/, http://prehled-druzic.blogspot.com/2015/12/2015-079.html, null, null, null, null, 2015, 79, B, M, *, +, GSAT0208 (GALILEO 11), ESA, 2015-01-17, FRGUI, null, 54.9, null, 23236, 23208, 9.9514, null
Galileo FOC FM9 (Galileo 12), NR (1/16), ESA, European Space Agency, Commercial, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 23551, 23568, 0.00028400073506072606, 54.95, 858.34, 723, null, null, 2015-12-17, 12 yrs., OHB-System GmbH. SSTL , Germany/UK, Guiana Space Center, Soyuz-ST, 2015-079A, 41174, null, null, prehled-druzic, http://spaceflightnow.com/2015/12/17/soyuz-launches-two-more-galileo-satellites/, http://prehled-druzic.blogspot.com/2015/12/2015-079.html, null, null, null, null, 2015, 79, A, M, *, +, GSAT0209 (GALILEO 12), ESA, 2015-01-17, FRGUI, null, 54.9, null, 23239, 23205, 6.7254, null
Galileo IOV-1 FM2, NR, ESA, European Space Agency, Commerical, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 23242, 23307, 0.0010963247820000338, 54.67, 846.98, 700, null, 1420, 2011-10-21, 12 yrs., Astrium/Thales Alenia Space, Germany/UK/Italy, Guiana Space Center, Soyuz-Fregat, 2011-060B, 37847, Operational nucleus of the full 30-satellite constellation., null, SC - ASCR, http://www.esa.int/SPECIALS/Galileo_IOV/SEM7DEITPQG_0.html, null, http://www.lib.cas.cz/space.40/2011/060B.HTM, null, null, null, 2011, 60, B, M, *, +, GSAT0102 (GALILEO-FM2), ESA, 2011-01-21, FRGUI, null, 56.3, null, 23240, 23204, 20.1111, null
Galileo IOV-1 PFM, NR, ESA, European Space Agency, Commercial, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 23240, 23306, 0.0011132476469992915, 54.68, 846.88, 700, null, 1420, 2011-10-21, 12 yrs., Astrium/Thales Alenia Space, Germany/UK/Italy, Guiana Space Center, Soyuz-Fregat, 2011-060A, 37846, Operational nucleus of the full 30-satellite constellation., null, SC - ASCR, http://www.esa.int/SPECIALS/Galileo_IOV/SEM7DEITPQG_0.html, null, http://www.lib.cas.cz/space.40/2011/060A.HTM, null, null, null, 2011, 60, A, M, *, +, GSAT0101 (GALILEO-PFM), ESA, 2011-01-21, FRGUI, null, 56.3, null, 23237, 23207, 12.6191, null
Galileo IOV-2 FM3, NR, ESA, European Space Agency, Commercial, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 23214, 23233, 0.0003210164394208188, 55.34, 844.76, 700, null, 1420, 2012-10-12, 12 yrs., EADS Astrium, Germany/UK/Italy, Guiana Space Center, Soyuz-Fregat, 2012-055A, 38857, Operational nucleus of the full 30-satellite constellation., null, SC - ASCR, http://www.eads.com/eads/int/en/news/pres.20121015_astrium/galileo.html, http://space0.kosmo.cz/s40/2012/I055A.HTM, null, null, null, null, 2012, 55, A, null, *, +, GSAT0103 (GALILEO-FM3), ESA, 2012-01-12, FRGUI, null, 54.9, null, 23236, 23209, 8.5737, null
Galileo IOV-2 FM4, NR, ESA, European Space Agency, Commercial, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 23217, 23227, 0.0001689645850229792, 55.3, 844.69, 700, null, 1420, 2012-10-12, 12 yrs., EADS Astrium, Germany/UK/Italy, Guiana Space Center, Soyuz-Fregat, 2012-055B, 38858, Operational nucleus of the full 30-satellite constellation., null, SC - ASCR, http://www.eads.com/eads/int/en/news/pres.20121015_astrium/galileo.html, http://space0.kosmo.cz/s40/2012/I055A.HTM, null, null, null, null, 2012, 55, B, null, *, +, GSAT0104 (GALILEO-FM4), ESA, 2012-01-12, FRGUI, null, 54.9, null, 23233, 23212, 13.8217, null
AMC-10 (Americom-10. GE 10), USA, USA, SES World Skies, Commercial, Communications, null, GEO, null, -134.97, 35775, 35797, 0.0002609355726349749, 0.01, 1436.09, 2315, 907, 6.500 (EOL), 2004-02-05, 15 yrs., Lockheed Martin, USA, Cape Canaveral, Atlas 2AS, 2004-003A, 28154, 24 C-band transponders., null, JM/12_08, http://www.ses-americom.com/media/2004/02_05_04.html, http://www.ses-americom.com/satellites/amc-10-11.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx604.html, http://www.planet4589.org/space/jsr/back/news.520, http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf, null, 2004, 3, A, null, *, -, AMC-10 (GE-10), SES, 2004-01-05, AFETR, null, 0.3, null, 36128, 36096, 25.1189, null
Gaofen 1, China, China, Shanghai Academy of Spaceflight Technology (SAST), Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 630, 654, 0.0017113519680547634, 98.07, 97.56, 1000, null, null, 2013-04-26, 5-8 yrs., Shanghai Academy of Space Flight Technology, China, Jiuquan Satellite Launch Center, Long March 2D, 2013-018A, 39150, Possibly for cartography; will work in system to combine data from different sources., null, SC - ASCR, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, http://space50.kosmo.cz/s40/2013/I018A.HTM, null, null, null, null, 2013, 18, A, null, *, +, GAOFEN 1, PRC, 2013-01-26, JSC, null, 97.9, null, 654, 626, 2.587, null
Gaofen 2, NR, China, Shanghai Academy of Spaceflight Technology (SAST), Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 620, 636, 0.0011431837667905116, 98.02, 97.06, 1000, null, null, 2014-08-19, 5-8 yrs., Shanghai Academy of Space Flight Technology, China, Taiyuan Launch Center, Long March 4B, 2014-049A, 40118, The primary users of the satellite will be the Ministry of Land and Resources. the Ministry of Housing and Urban-Rural Development. the Ministry of Transport. and the State Forestry Administration., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, https://directory.eoportal.org/web/eoportal/satellite-missions/g/gaofen-1, http://www.nasaspaceflight.com/2014/08/chinese-long-march-4b-gaofen-2-brite-pl-2/, null, null, null, 2014, 49, A, null, *, +, GAOFEN 2, PRC, 2014-01-19, TAISC, null, 97.9, null, 634, 621, 3.506, null
Gaofen 4, NR (1/16), China, China Aerospace Science and Technology Corporation (CASTC), Government, Earth Observation, Optical Imaging, GEO, null, null, 35792, 35796, 0.00004743382980741865, 0.6, 1436.1, 4600, null, null, 2015-12-28, 8 yrs., China Aerospace Science and Technology Corporation, China, Xichang Satellite Launch Center, Long March 3B, 2015-083A, 41194, China's first earth observation satellite in GEO., null, prehled-druzic, http://spaceflightnow.com/2015/12/29/china-launches-eagle-eyed-satellite-to-stare-down-at-earth/, http://gbtimes.com/china/china-launches-gaofen-4-dual-use-geostationary-satellite, null, null, null, null, 2015, 83, A, null, *, +, GAOFEN 4, PRC, 2015-01-28, XICLF, null, 0.1, null, 35797, 35778, 22.1298, null
Gaofen 8, NR, China, Shanghai Academy of Spaceflight Technology (SAST), Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 484, 492, 0.0005832604257801109, 97.3, 94.36, 1000, null, null, 2015-06-26, 5-8 yrs., Shanghai Academy of Space Flight Technology, China, Taiyuan Launch Center, Long March 4B, 2015-030A, 40701, Optical satellite planned under the civilian China High-resolution Earth Observation System (CHEOS)., null, JM/8_15, http://www.nasaspaceflight.com/2015/06/china-longmarch4b-gaofen-8/, null, null, null, null, null, 2015, 30, A, null, *, +, GAOFEN 8, PRC, 2015-01-26, TAISC, null, 97.4, null, 502, 488, 5.0119, null
Gaofen 9, NR (6/16), China, China Aerospace Science and Technology Corporation (CASTC), Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 618, 664, 0.0032805591213806874, 98.01, 97.54, 1000, null, null, 2015-09-14, 5-8 yrs., Shanghai Academy of Space Flight Technology, China, Jiuquan Satellite Launch Center, Long March 2D, 2015-047A, 40894, Will provide sub-meter class resolution optical images for city planning. road network design. land ownership determination. etc. purposes, null, JM/12_15), http://www.planet4589.org/space/log/satcat.txt, http://prehled-druzic.blogspot.com/2015/09/2015-047.html, http://www.nasaspaceflight.com/2015/09/china-lofts-yg28-long-march-2d/, null, null, null, 2015, 47, A, null, *, +, GAOFEN 9, PRC, 2015-01-14, JSC, null, 97.9, null, 664, 618, 3.683, null
Garpun-1 (Cosmos 2473), Russia, Russia, Ministry of Defense, Military, Communications, null, GEO, null, 79.9, 35782, 35790, 0.0000948856627763545, 0.09, 1436.1, 5000, null, null, 2011-09-20, null, ISS Reshetnev, Russia, Baikonur Cosmodrome, Proton M, 2011-048A, 37806, Possible replacement for Potok/Geizer relay communications satellite., null, JM/1_12, http://russianforces.org/blog/2011/09/cosmos-2473_-_garpun-type_rela.shtml, null, http://www.lib.cas.cz/space.40//2011/048A.HTM, null, http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=2011-048A, null, 2011, 48, A, null, *, +, COSMOS 2473, CIS, 2011-01-20, TYMSC, null, 0.1, null, 35804, 35769, 23.1149, null
Garpun-12L (Cosmos 2513), NR (1/16), Russia, Ministry of Defense, Military, Communications, null, GEO, null, null, 35783, 35805, 0.00026088606394080257, 0, 1436.1, 5000, null, null, 2015-12-10, null, ISS Reshetnev, Russia, Baikonur Cosmodrome, Proton M, 2015-075A, 41121, Data relay communications satellite., null, prehled-druzic, http://spaceflightnow.com/2015/12/13/russian-data-relay-satellite-launched-by-proton-rocket/, http://prehled-druzic.blogspot.com/2015/12/2015-075.html, null, null, null, null, 2015, 75, A, null, *, +, COSMOS 2513, CIS, 2015-01-13, TYMSC, null, 0.1, null, 35802, 35772, 3.362, null
Garuda-1 (Aces 1), Indonesia, Indonesia/Philippines/Thailand, Asia Cellular Satellite, Commercial, Communications, null, GEO, null, 123.03, 35774, 35801, 0.00032022771748799146, 1.22, 1436.16, 4291, 2500, 14000, 2000-02-12, 12 yrs., Lockheed Martin Missiles and Space, USA, Baikonur Cosmodrome, Proton, 2000-011A, 26089, L-band; mobile telephone communications., null, JM/12_08, http://www.acesinternational.com/corporate/index.php?fuseaction=System.satellite, http://nssdc.gsfc.nasa.gov/spacewarn/spx556.html, http://spaceflightnow.com/proton/garuda1/000212garuda.html, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf, null, 2000, 11, A, null, *, -, GARUDA 1, INDO, 2000-01-12, TYMSC, null, 3.3, null, 35912, 35869, 16.0243, null
GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance), NR, Denmark, GomSpace ApS, Commercial, Technology Development, null, LEO, Sun-Synchronous, 0, 593, 819, 0.015969474279253815, 97.7, 98.9, 5, null, null, 2013-11-21, null, GomSpace/University of Aalborg, Denmark, Dombarovsky Air Base, Dnepr, 2013-066Q, 39430, Principal purpose is to evaluate use of satellites to monitor ABS-B data transmissions from commercial aircraft on trans-oceanic routes., null, ZARYA, https://directory.eoportal.org/web/eoportal/satellite-missions/g/gatoss, null, null, null, null, null, 2013, 66, Q, null, *, +, GOMX-1, DEN, 2013-01-21, DLS, null, 97.7, null, 804, 588, 0.0533, null
